ImageWidth,ImageLength,ResolutionUnit,ExifOffset,Make,Model,Software,Orientation,DateTime,YCbCrPositioning,XResolution,YResolution,ExifVersion,ShutterSpeedValue,ApertureValue,DateTimeOriginal,DateTimeDigitized,BrightnessValue,ExposureBiasValue,MaxApertureValue,MeteringMode,Flash,FocalLength,ColorSpace,ExifImageWidth,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,OffsetTime,OffsetTimeOriginal,SubsecTime,SubsecTimeOriginal,SubsecTimeDigitized,ExifImageHeight,ExposureTime,FNumber,ExposureProgram,ISOSpeedRatings,ExposureMode,FlashPixVersion,WhiteBalance,MakerNote,Fichier
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,1,2025:10:30 10:27:24,1,72.0,72.0,b'0220',0.008620689,1.69,2025:10:30 10:27:24,2025:10:30 10:27:24,4.85,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,414,414,414,3000,0.008620689,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102724.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:13,1,72.0,72.0,b'0220',0.00034602,1.69,2025:10:30 10:30:13,2025:10:30 10:30:13,8.17,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,047,047,047,3000,0.00034602,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103012.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:15,1,72.0,72.0,b'0220',0.000778816,1.69,2025:10:30 10:30:15,2025:10:30 10:30:15,7.35,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,748,748,748,3000,0.000778816,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103015.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:17,1,72.0,72.0,b'0220',0.000697836,1.69,2025:10:30 10:30:17,2025:10:30 10:30:17,7.7,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,548,548,548,3000,0.000697836,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103017.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:44,1,72.0,72.0,b'0220',0.000257003,1.69,2025:10:30 10:30:44,2025:10:30 10:30:44,8.68,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,416,416,416,3000,0.000257003,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103044.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:31:32,1,72.0,72.0,b'0220',0.000888888,1.69,2025:10:30 10:31:32,2025:10:30 10:31:32,7.92,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,884,884,884,3000,0.000888888,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103132.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:31:57,1,72.0,72.0,b'0220',0.000161995,1.69,2025:10:30 10:31:57,2025:10:30 10:31:57,9.27,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,786,786,786,3000,0.000161995,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103157.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:32:24,1,72.0,72.0,b'0220',0.000893655,1.69,2025:10:30 10:32:24,2025:10:30 10:32:24,7.19,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,252,252,252,3000,0.000893655,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103223.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:33:10,1,72.0,72.0,b'0220',0.00083682,1.69,2025:10:30 10:33:10,2025:10:30 10:33:10,7.73,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,554,554,554,3000,0.00083682,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103310.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,3,2025:10:30 10:38:41,1,72.0,72.0,b'0220',0.000307976,1.69,2025:10:30 10:38:41,2025:10:30 10:38:41,8.35,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,038,038,038,3000,0.000307976,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103840.jpg
